"CCSBT Registration Number","Vessel Group","Vessel Name","Flag","Authorising Entity","Callsign","Vessel Registration Number","IMO","Tonnage","Vessel Type","Gear Type","Authorisation From","Authorisation To"
"FV06131","Fishing","MITRA JAYA BERSAMA - III","Indonesia","Indonesia","YEB. 4440","27 NO. 95/BB","","27.0","Longliners","Longline","12/11/2015","10/12/2016"
"FV06130","Fishing","MITRA JAYA BERSAMA - V","Indonesia","Indonesia","YEB. 4441","27 NO. 96/BB","","27.0","Longliners","Longline","12/11/2015","10/12/2016"
"FV06129","Fishing","MITRA JAYA BERSAMA - VIII","Indonesia","Indonesia","YEB. 4454","28 NO. 97/BB","","28.0","Longliners","Longline","12/11/2015","10/12/2016"
"FV01446","Fishing","MONIKA","Australia","Australia","UNKNOWN","LX5","8019904","204.0","Multipurpose vessels","Unspecified Method","01/12/2015","30/11/2016"
"FV04507","Fishing","MONSERRATE","Portugal","Portugal","CUBZ5","PV-277-C","","238.3","Longliners","Longline","01/01/2008","31/12/2020"
"FV06136","Fishing","MUARA TUNA RAYA","Indonesia","Indonesia","YEA. 5953","16 NO. 734/PD","","16.0","Longliners","Longline","03/03/2015","14/06/2016"
"FV05911","Fishing","MUTIARA - 10","Indonesia","Indonesia","YEB 5108","56 NO.1944/PD","","56.0","Longliners","Longline","06/01/2016","05/01/2017"
"FV05912","Fishing","MUTIARA - 11","Indonesia","Indonesia","YEB 5109","59 NO.1925/PD","","59.0","Longliners","Longline","06/01/2016","05/01/2017"
"FV06167","Fishing","MUTIARA - 2","Indonesia","Indonesia","YEB. 4428","27 NO. 3703/BC","","27.0","Longliners","Longline","23/03/2015","27/04/2016"
"FV06170","Fishing","MUTIARA - 6","Indonesia","Indonesia","YEB. 5102","29 NO. 1289/PD","","29.0","Longliners","Longline","27/08/2015","12/09/2016"
"FV06171","Fishing","MUTIARA - 7","Indonesia","Indonesia","YEB. 5103","29 NO. 1298/PD","","29.0","Longliners","Longline","27/08/2015","12/10/2016"
"FV05870","Fishing","MUTIARA - 9","Indonesia","Indonesia","YEB.5101","49 NO. 1489/PD","","49.0","Longliners","Longline","16/01/2016","15/01/2017"
"FV06166","Fishing","MUTIARA 1","Indonesia","Indonesia","YEB. 4427","27 NO. 3675/BC","","27.0","Longliners","Longline","23/03/2015","27/04/2016"
"FV06168","Fishing","MUTIARA 3","Indonesia","Indonesia","YEB. 4429","27 NO. 3693/BC","","27.0","Longliners","Longline","23/03/2015","27/04/2016"
"FV06169","Fishing","MUTIARA 5","Indonesia","Indonesia","YEB. 5126","29 NO. 1261/PD","","29.0","Longliners","Longline","09/04/2015","22/06/2016"
"FV06172","Fishing","MUTIARA 8","Indonesia","Indonesia","YEB. 5127","30 NO. 1401/PD","","30.0","Longliners","Longline","10/04/2015","02/05/2016"
"FV00292","Fishing","MYOJIN MARU 3","Japan","Japan","JRRF","1056","9004396","379.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00293","Fishing","MYOJIN MARU 8","Japan","Japan","JIJL","1057","8921250","439.0","Longliners","Longline","01/04/2016","31/03/2017"
